# mask_cen mask_weight
5.502854999497242261e+02 1.000033469571180778e+00
5.558024999483393458e+02 1.000123256622774459e+00
5.751244999434891270e+02 1.000075020561715045e+00
5.821961999417139850e+02 9.997439596199148015e-01
5.840983999412364938e+02 1.000073001595982225e+00
6.104410999346239350e+02 9.984076653244028376e-01
6.115769999343388008e+02 9.974848977398160788e-01
6.116415999343225849e+02 9.956611060642651667e-01
6.117564999342937426e+02 9.952079362458520206e-01
6.123912999341343948e+02 9.986686979977462686e-01
6.132274999339244914e+02 9.955399336902368557e-01
6.135123999338529757e+02 9.958506070073892547e-01
6.136472999338191130e+02 9.956185652205278291e-01
6.140134999337271893e+02 9.999120397460821152e-01
6.141840999336843652e+02 9.958278094474665165e-01
6.142615999336649111e+02 9.953050080839653813e-01
6.144409999336198780e+02 9.949909879282468061e-01
6.145111999336022564e+02 9.921420688608892924e-01
6.145351999335962319e+02 9.900961668525710691e-01
6.145755999335860906e+02 9.948565648126113103e-01
6.147307999335471322e+02 9.959755796147036211e-01
6.224294999316146004e+02 1.000016831862417410e+00
6.320893999291897671e+02 9.979592729661608264e-01
6.363554999281188884e+02 9.976886372879770759e-01
6.369159999279781914e+02 9.979313449573907757e-01
6.374179999278521791e+02 9.978002764252068557e-01
6.374932999278332773e+02 9.977713108479064896e-01
6.380598999276910490e+02 9.980453370866393392e-01
6.384130999276023886e+02 9.977716800597656865e-01
6.390409999274447728e+02 9.977906892681679407e-01
6.391235999274240385e+02 9.977312152371717868e-01
6.394455999273432099e+02 9.963587807990635925e-01
6.395247999273233290e+02 9.968864952528013745e-01
6.396005999273043017e+02 9.975689963949549988e-01
6.403774999271092838e+02 9.996789660538010214e-01
6.404315999270957036e+02 9.959049862737315850e-01
6.405128999270752956e+02 9.951260752325221670e-01
6.405683999270613640e+02 9.956866207239498667e-01
6.406943999270297354e+02 9.958041209087435952e-01
6.408096999270007927e+02 9.957375694646558584e-01
6.408658999269866854e+02 9.936201143607344966e-01
6.409150999269743352e+02 9.956530385232829072e-01
6.409628999269623364e+02 9.950167106461010880e-01
6.410321999269449407e+02 9.953530480931170876e-01
6.410937999269294778e+02 9.948849100754131314e-01
6.411705999269101994e+02 9.952089540684410096e-01
6.412291999268954896e+02 9.947897254582691584e-01
6.412610999268874821e+02 9.948224929430885544e-01
6.412744999268841184e+02 9.954671270652394321e-01
6.413804999268575102e+02 9.949319784649993670e-01
6.415016999268270865e+02 9.949625208293988443e-01
6.417542999267636787e+02 9.951419727039950702e-01
6.418848999267308955e+02 9.951274031283233734e-01
6.419141999267235406e+02 9.947427150542944574e-01
6.420188999266972587e+02 9.948899372392575602e-01
6.422446999266405783e+02 9.952017230725009878e-01
6.424283999265944658e+02 9.949525703210426730e-01
