# mask_cen mask_weight
3.500101999999974396e+02 8.738716810766274934e-01
3.500255999999935739e+02 5.497691664482560192e-01
3.500331999999916661e+02 5.298784510571395989e-01
3.500518999999869720e+02 7.043532896686746092e-01
3.500560999999859177e+02 8.765626994173423281e-01
3.500693999999825792e+02 8.972651175182747574e-01
3.500813999999795669e+02 6.450172904244749761e-01
3.500876999999779855e+02 7.892396715401439611e-01
3.500967999999757012e+02 4.237360744317011374e-01
3.501030999999741198e+02 6.369579094294272048e-01
3.501181999999703294e+02 9.177753587181195494e-01
3.501341999999663130e+02 9.630504219796739429e-01
3.501565999999606902e+02 9.591741148161369024e-01
3.501659999999583306e+02 6.756598312758059777e-01
3.501847999999536114e+02 9.919679083263935881e-01
3.502112999999469594e+02 4.594021030649886317e-01
3.502207999999445747e+02 4.838728926941066044e-01
3.502286999999425916e+02 4.532072510439484336e-01
3.502345999999411106e+02 4.263735410417541782e-01
3.502453999999383996e+02 4.789774095520694663e-01
3.502496999999373202e+02 4.980260286704253359e-01
3.502569999999354877e+02 8.706815624857284774e-01
3.502718999999317475e+02 9.079064841314030687e-01
3.502814999999293377e+02 5.014526885935493006e-01
3.502943999999260996e+02 4.654083645414179848e-01
3.503021999999241416e+02 4.920350016958042749e-01
3.503281999999176151e+02 9.813393581295245527e-01
3.503351999999158579e+02 8.855123847540063986e-01
3.503469999999128959e+02 6.904017157084791911e-01
3.503595999999097330e+02 9.792508394182671827e-01
3.503779999999051142e+02 4.148859754101583697e-01
3.503857999999031563e+02 5.558688826416868789e-01
3.504015999998991902e+02 7.127912721516314054e-01
3.504218999998940944e+02 5.416987695142709835e-01
3.504298999998920863e+02 4.181107174341222033e-01
3.504380999998900279e+02 4.543120302338644612e-01
3.504467999998878440e+02 9.310546935027246285e-01
3.504578999998850577e+02 4.075858821970486101e-01
3.504716999998815936e+02 5.728320312895087696e-01
3.504805999998793595e+02 4.212192394468921020e-01
3.504990999998747156e+02 4.217174452429932607e-01
3.505139999998709754e+02 5.287295322917879847e-01
3.505218999998689924e+02 8.925648632065964483e-01
3.505304999998668336e+02 4.893997124096755025e-01
3.505443999998633444e+02 9.447772708650665763e-01
