# mask_cen mask_weight
3.500095999999975902e+02 9.969382483475279777e-01
3.500185999999953310e+02 9.546653286990202103e-01
3.500286999999927957e+02 9.660753929709637866e-01
3.500560999999859177e+02 9.704533387001482714e-01
3.500608999999847128e+02 9.423803193210763540e-01
3.500694999999825541e+02 9.736293814395424739e-01
3.500856999999784875e+02 9.457523860635257407e-01
3.500918999999769312e+02 9.615321803441068127e-01
3.501031999999740947e+02 9.509340767407112871e-01
3.501181999999703294e+02 9.838514888411956649e-01
3.501341999999663130e+02 9.957208935131394156e-01
3.501565999999606902e+02 9.963225614688970833e-01
3.501847999999536114e+02 9.998505307206099202e-01
3.502104999999471602e+02 9.821763444726635539e-01
3.502242999999436961e+02 9.744147989139725352e-01
3.502344999999411357e+02 9.922807711213244009e-01
3.502453999999383996e+02 9.487964350090261068e-01
3.502490999999374708e+02 9.723405469382456756e-01
3.502568999999355128e+02 9.753580892116322509e-01
3.502740999999311953e+02 9.424884804994078102e-01
3.502814999999293377e+02 9.828454485681862307e-01
3.502922999999266267e+02 9.721064561612942079e-01
3.503281999999176151e+02 9.995829690001869494e-01
3.503593999999097832e+02 9.998380708695416841e-01
3.504008999998993659e+02 9.680518954777791452e-01
3.504096999998971569e+02 9.478699630373853546e-01
3.504216999998941446e+02 9.203038457692731544e-01
3.504255999998931657e+02 9.180896510157007251e-01
3.504339999998910571e+02 9.540932840837929030e-01
3.504472999998877185e+02 9.450084753264721416e-01
3.504623999998839281e+02 9.719041843382164592e-01
3.504757999998805644e+02 9.948440382491321454e-01
3.504896999998770752e+02 9.110232984375720156e-01
3.504970999998752177e+02 8.993288268136293562e-01
3.505072999998726573e+02 9.557003971590148916e-01
3.505138999998710005e+02 9.252493577984622908e-01
3.505217999998690175e+02 9.747230655522854947e-01
3.505449999998631938e+02 9.907675457340680003e-01
3.505554999998605581e+02 9.892482173401283552e-01
3.505770999998551360e+02 9.861471028428802077e-01
3.505862999998528267e+02 9.972114472207140867e-01
3.506060999998478565e+02 9.874650888704022966e-01
3.506134999998459989e+02 9.505981388851516556e-01
3.506211999998440660e+02 9.278418265884974536e-01
3.506374999998399744e+02 9.150164873431458901e-01
3.506451999998380415e+02 9.274670706405273579e-01
3.506513999998364852e+02 9.502988463571961919e-01
3.506595999998344269e+02 9.632582102185152095e-01
3.506684999998321928e+02 9.904006691221717285e-01
3.506792999998294817e+02 9.444485780041357303e-01
3.506931999998259926e+02 9.544188293699819026e-01
3.507314999998163785e+02 9.997281523097136802e-01
3.507500999998117095e+02 9.964770979999084677e-01
3.507640999998081952e+02 9.991168008805502154e-01
3.507818999998037270e+02 9.663811148027573461e-01
3.507950999998004136e+02 9.332460778612897689e-01
3.508142999997955940e+02 9.876911891781656738e-01
