# mask_cen mask_weight
3.990889999988391992e+02 9.999729357899634907e-01
3.996439999988260752e+02 9.998933179031763707e-01
3.999769999988182008e+02 9.999752932643305448e-01
4.002789999988110594e+02 9.991118639411659119e-01
4.006369999988025938e+02 9.999393456797874835e-01
4.010059999987938681e+02 9.999378848567770373e-01
4.012229999987887368e+02 9.946061112374492419e-01
4.012659999987877200e+02 9.971044014278938050e-01
4.013379999987860174e+02 9.910646482650710132e-01
4.013669999987853316e+02 9.936339582741259280e-01
4.013879999987848350e+02 9.873584671029271842e-01
4.014719999987828487e+02 9.892837189191718839e-01
4.014959999987822812e+02 9.935118399076611206e-01
4.015669999987806023e+02 9.961503483339656517e-01
4.016519999987785923e+02 9.959676215403721056e-01
4.019229999987721840e+02 9.987328718363945868e-01
4.020429999987693463e+02 9.975548135894883872e-01
4.021529999987667452e+02 9.998578391159851364e-01
4.022999999987632691e+02 9.981052705164399352e-01
4.031889999987422470e+02 9.999939431691697855e-01
4.040959999987207993e+02 9.996745482357043411e-01
4.042499999987171577e+02 9.994111026435449352e-01
4.046959999987066112e+02 9.999791873845762513e-01
4.053599999986909097e+02 9.885456645266239573e-01
4.054789999986880957e+02 9.980267365669955870e-01
4.055019999986875519e+02 9.994004354019896397e-01
4.055689999986859675e+02 9.995677371334638073e-01
4.056689999986836028e+02 9.989353237201883395e-01
4.056979999986829171e+02 9.977786079834474187e-01
4.058339999986797011e+02 9.990314864457333632e-01
4.058949999986782586e+02 9.966000068821577740e-01
4.059329999986773601e+02 9.997964503584818585e-01
4.060069999986756102e+02 9.985257929209423455e-01
4.061409999986724415e+02 9.991326484080240711e-01
4.061859999986713774e+02 9.963065773359780497e-01
4.064739999986645671e+02 9.999679691816577565e-01
4.068119999986565745e+02 9.964536698703718720e-01
4.068419999986558651e+02 9.972331159651376398e-01
4.069119999986542098e+02 9.981733967096677596e-01
4.072889999986452949e+02 9.999593375690565278e-01
4.075939999986380826e+02 9.964229293797711717e-01
4.077269999986349376e+02 9.996544617932991983e-01
4.077509999986343701e+02 9.990049276616711493e-01
4.078509999986320054e+02 9.999430497304354626e-01
4.079619999986293806e+02 9.994481523693405922e-01
4.080389999986275598e+02 9.979170273501392074e-01
4.080989999986261410e+02 9.955975438054632809e-01
4.081359999986252660e+02 9.905155714275942769e-01
4.081749999986243438e+02 9.906142878203412216e-01
4.082239999986231851e+02 9.852906625894379822e-01
4.082369999986228777e+02 9.847938830688957035e-01
4.083539999986201110e+02 9.996541553183625473e-01
4.084089999986188104e+02 9.981777461273885210e-01
4.084859999986169896e+02 9.997354551751981289e-01
4.085639999986151452e+02 9.932041612163476918e-01
4.086159999986139155e+02 9.948555006655157573e-01
4.086459999986132061e+02 9.917860721455492579e-01
4.087449999986108651e+02 9.904436912116079128e-01
4.087859999986098956e+02 9.913067634914901616e-01
4.088109999986093044e+02 9.837567298650607972e-01
4.088779999986077200e+02 9.986513832139690683e-01
4.089439999986061594e+02 9.764766405165455909e-01
4.090089999986046223e+02 9.832369374904790238e-01
4.090269999986041967e+02 9.772844410349665889e-01
4.090759999986030380e+02 9.890360277592035176e-01
4.091209999986019739e+02 9.767654512377383913e-01
4.091569999986011226e+02 9.900646871259041193e-01
4.091729999986007442e+02 9.992425873536584513e-01
4.092139999985997747e+02 9.882752041696052370e-01
4.093089999985975282e+02 9.842179436453519781e-01
4.093839999985957547e+02 9.998964437142601192e-01
4.094439999985943359e+02 9.905971189582912784e-01
4.094639999985938630e+02 9.878826097669310968e-01
4.094759999985935792e+02 9.866739150574816986e-01
