# mask_cen mask_weight
9.000399999999899592e+02 2.072436835153450563e-01
9.000526999999867712e+02 2.247523136948200717e-01
9.001413999999645057e+02 1.608642805536107945e-01
9.002025999999491432e+02 7.162752219404333598e-01
9.002476999999378222e+02 1.729471675772343842e-01
9.002708999999319985e+02 1.800817363334011878e-01
9.002957999999257481e+02 2.804725845019037100e-01
9.003118999999217067e+02 2.752373900835125564e-01
9.003828999999038842e+02 8.816543225270079276e-02
9.004026999998989140e+02 2.128588321307191000e-01
9.004218999998940944e+02 1.124820781003827985e-01
9.004627999998838277e+02 1.071986681577606904e-01
9.004808999998792842e+02 1.248260845450237522e-01
9.005113999998716281e+02 1.501939822748109554e-01
9.005365999998653024e+02 1.201424200497407391e-01
9.006072999998475552e+02 1.435444922372166587e-01
9.006391999998395477e+02 1.035924309705409385e-01
9.006816999998288793e+02 1.135727594945918906e-01
9.008245999997930085e+02 1.268266997847025124e-01
9.008497999997866827e+02 1.709586584395191844e-01
9.008608999997838964e+02 9.740705106844993466e-02
9.008819999997785999e+02 1.172880444189000615e-01
9.008945999997754370e+02 2.178612737458073267e-01
9.009047999997728766e+02 1.019253220728615350e-01
9.009481999997619823e+02 1.427161222233587212e-01
9.010877999997269399e+02 1.797668002612300420e-01
9.011319999997158448e+02 9.815759838921844782e-02
9.011531999997105231e+02 2.562640163033402807e-01
9.011726999997056282e+02 1.250473498077114831e-01
9.011938999997003066e+02 3.043983213366425744e-01
9.012387999996890358e+02 5.972971205211421442e-01
9.012932999996753551e+02 1.477891414158672978e-01
9.013063999996720668e+02 1.537577958389418908e-01
9.013635999996577084e+02 9.967526415100813608e-02
9.014202999996434755e+02 8.874321472587654025e-02
9.014545999996348655e+02 3.020532541188319930e-01
9.014697999996310500e+02 1.356185849942093125e-01
9.014938999996250004e+02 1.150051165579214496e-01
9.015249999996171937e+02 1.159510203813304274e-01
9.015393999996135790e+02 1.383364769833491659e-01
9.015501999996108680e+02 9.366647588651688672e-02
9.015637999996074541e+02 1.814002311041597038e-01
9.015861999996018312e+02 1.186841686462939416e-01
9.015998999995983922e+02 1.020788158119685374e-01
9.016450999995870461e+02 4.389744819257436204e-01
9.017259999995667386e+02 1.434714669857652947e-01
9.017652999995568734e+02 3.180039335789666133e-01
9.017887999995509745e+02 1.119035030696104993e-01
9.018395999995382226e+02 1.052367223658192685e-01
9.018676999995311689e+02 1.992069135503662380e-01
9.018816999995276547e+02 1.198686528003651830e-01
9.018909999995253202e+02 1.366316642766820522e-01
9.019523999995099075e+02 5.724501753751909394e-01
9.019974999994985865e+02 1.428652925429882981e-01
9.020306999994902526e+02 1.026748477545019744e-01
9.020846999994766975e+02 1.083646136191254161e-01
9.021255999994664307e+02 2.040747543871732628e-01
9.021578999994583228e+02 1.592190024223376632e-01
9.022159999994437385e+02 1.585040240123914979e-01
9.022456999994362832e+02 1.635104009975606454e-01
9.022623999994320911e+02 1.690262618443411080e-01
9.022795999994277736e+02 2.351439335042959655e-01
9.023078999994206697e+02 1.117168148105855963e-01
9.023324999994144946e+02 1.164050680044514952e-01
9.023571999994082944e+02 2.476810944507713552e-01
9.024119999993945385e+02 5.340606854195332209e-01
9.024340999993889909e+02 1.931594754412451209e-01
9.024575999993830919e+02 2.134035375844082205e-01
9.025198999993674533e+02 1.507746053581968670e-01
9.025848999993511370e+02 9.985864849002590304e-02
9.026085999993451878e+02 2.227763496166553780e-01
