# mask_cen mask_weight
3.500101999999974396e+02 8.917983558352989837e-01
3.500255999999935739e+02 5.747709854681199992e-01
3.500331999999916661e+02 5.510179089916809048e-01
3.500518999999869720e+02 7.290354511752585864e-01
3.500560999999859177e+02 8.869370104778654396e-01
3.500626999999842610e+02 4.655834246740822024e-01
3.500693999999825792e+02 9.077853674072160484e-01
3.500813999999795669e+02 6.593973415769980306e-01
3.500877999999779604e+02 7.895857370416917709e-01
3.500967999999757012e+02 4.352360357982868466e-01
3.501030999999741198e+02 6.693609248311738202e-01
3.501181999999703294e+02 9.265621442248310746e-01
3.501341999999663130e+02 9.666545500239919209e-01
3.501565999999606902e+02 9.654383315994854442e-01
3.501659999999583306e+02 7.132173181296481701e-01
3.501847999999536114e+02 9.946677730210252699e-01
3.502112999999469594e+02 4.837735528565439980e-01
3.502207999999445747e+02 5.088257469405771394e-01
3.502286999999425916e+02 4.720058468592286394e-01
3.502345999999411106e+02 4.490706526644248076e-01
3.502453999999383996e+02 4.975959392402240500e-01
3.502495999999373453e+02 5.184410157456811330e-01
3.502569999999354877e+02 8.880091497654264421e-01
3.502718999999317475e+02 9.103279486793891540e-01
3.502814999999293377e+02 5.288454629035387322e-01
3.502943999999260996e+02 4.853507311185791817e-01
3.503021999999241416e+02 5.140035236377764605e-01
3.503281999999176151e+02 9.865907832926328336e-01
3.503351999999158579e+02 8.990050201591440748e-01
3.503469999999128959e+02 7.299753830717933267e-01
3.503595999999097330e+02 9.847859303122763475e-01
3.503779999999051142e+02 4.313069861420745221e-01
3.503856999999031814e+02 5.874137757502024826e-01
3.504015999998991902e+02 7.448563687536311484e-01
3.504177999998951236e+02 4.304982184061648676e-01
3.504218999998940944e+02 5.657828498196297851e-01
3.504298999998920863e+02 4.315696744484227576e-01
3.504380999998900279e+02 4.636677927886229122e-01
3.504467999998878440e+02 9.341880971585057036e-01
3.504534999998861622e+02 4.148411780784901914e-01
3.504579999998850326e+02 4.190583708276862662e-01
3.504716999998815936e+02 6.112516998613137797e-01
3.504806999998793344e+02 4.342194841644632097e-01
3.504990999998747156e+02 4.349700901104264217e-01
3.505067999998727828e+02 4.143753997192809457e-01
